ID,Short Name,Long Name,Type,Internal Link,External Link,Summary,Read Time,Requires an Account,       Demountable Design,       Designing for Mixed-Use,       Modular Design,       Designing for Adaptive Reuse,       Maximizing Space Utilization,       Designing for Material Optimization,       3D Printing Cradle to Cradle Material,       Prefabrication,       Selling Renewable Energy,       Internet of Things / BIM for Operations,       Space Utilization,       Existing Structure,       Adaptive Reuse of Existing Building,       Harvesting Grey Water,       Harvesting Runoff,       Natural Lighting and Ventilation,       Upcycling,       Downcycling,       Salvaged Materials from Demolitions,       Open Source Design,       Material Passports,       Storage and Distribution Facilities,       Connecting Salvage Supply and Demand,       Remanufacturing Salvaged Materials,       Capturing Waste Material from Other Industries,       Brownfield Remediation,       Take-Back Services,       Leased Materials,       Product as a Service (PaaS),       Optimizing Material Transportation,,
17,Efficient Practices,Efficient Design and Building Practices Can Effectively Reduce Your Waste Stream and Boost Your Bottom Line,Learn,,https://www.architectmagazine.com/technology/products/efficient-design-and-building-practices-can-effectively-reduce-your-waste-stream-and-boost-your-bottom-line_o,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3D-printed Community,The first 3D-printed housing community in the US is being built in the California Desert,Example,,https://www.cnn.com/2021/03/18/business/california-3d-printed-neighborhood-trnd/index.html?utm_term=1616150817359eeb06c1669ed&utm_source=cnn_Five+Things+for+Friday%2C+March+19%2C+2021&utm_medium=email&utm_campaign=1616150817361&bt_ee=AgelTBEKw6gtMWFmR5XeFy9UF3UzirdWrlw%2FhBX4RlCGHBdeqIHyCMdkqKkWvKKf&bt_ts=1616150817361,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
19,MEETS,MEETS: A Win-Win Path to Deep Energy Efficiency,Example,,https://www.youtube.com/watch?app=desktop&v=6bJN88CevrA&t=1s,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
20,Iot,IoT and its uses in buildings,Learn,,https://smartbuildingsmagazine.com/features/iot-and-its-uses-in-buildings,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
21,Adaptive Reuse,20 Creative Adaptive Reuse Projects,Example,,https://www.archdaily.com/783283/20-creative-adaptive-reuse-projects,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
22,Venlo City Hall,,Example,\\cga\Data\General\Dept\KnowledgeMgmt\ReCouncil\03_Project Folders\Circular Economy\Sources\Venlo City Hall.pdf,,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
23,Upcycling and Recycling,What is the difference between recycling and upcycling,Learn,,"https://www.forgerecycling.co.uk/blog/what-is-the-difference-between-recycling-and-upcycling/#:~:text=Recycling%20involves%20the%20destruction%20of,it%20in%20its%20current%20state.&text=While%20recycling%20is%20practical%2C%20upcycling,to%20create%20the%20finished%20product.",This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,
24,Average Building Ages,,Resource,\\cga\Data\General\Dept\KnowledgeMgmt\ReCouncil\03_Project Folders\Circular Economy\Sources\Waste Data\BuildingAgeData.pdf,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,
25,Brummen Hall,,Example,,https://www.circulareconomyclub.com/solutions/modular-building-brummen-town-hall/,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,
26,Circular Facades,,Resource,,https://www.circularfacades.com/home,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
27,Construction Waste Management,,Learn,,https://www.wbdg.org/resources/construction-waste-management,,half hour,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,
28,C2C inspired building,City Hall Venlo,Example,,Case Study City Hall Venlo page 2.psd (c2c-centre.com),,,,,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,
29,Headbox,Spacesharing,Resource,,https://www.headbox.com/,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
30,Globechain,reuse marketplace,Resource,,https://globechain.com/,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
31,First Mushroom Brick Town,,Example,,https://www.arup.com/news-and-events/hyfi-reinvents-the-brick,"Arup is a world leader in engineering and design consulting services, and in this case study they have used their expertise in a collaboration with The Living to study the use of a fungi and agricultural waste based brick.",,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
32,RE-USE Consulting,,Resource,,https://reuseconsulting.com/,"RE-USE primarily provides consulting services, but also provides deconstruction services, and materials (on a limited basis). They are pioneers in the practical application of the circular economy in the built environment and are educating clients, designers, and contractors in the incredible financial and environmental benefits of building material harvesting and reuse.",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
