Strategy Name,Short Name,Details,Life Cycle Stage,Evaluation Statement,Conventional Approach Replaced,Evaluation Points,Secondary Life Cycle Stages
Designing for mixed-use,Mixed-Use,Ability to accommodate various building programs can optimize a building’s use and minimize waste of existing building stock.,Design and Deliver,Does your building have more than one program use?,A building will have one very specific use and would perform poorly if used in any other way.,3,
Modular design,Modular Design,Modular design enables pre-fabrication and standardization of elements which can drive further optimization.,Design and Deliver,Does your project utilize standardized dimensions to reduce waste and/or optimize the reuse of the material at the end of its design life?,"Buildings will make no effort to enforce common assembly sizes, and will make use of prefabrication / standardization only when there is a clear economic benifit.",4,"Intelligent Built Environment, End of Design Life"
Designing for adaptive reuse,Adaptive Reuse,"Ability to evolve into new future programs can prolong a building’s life and minimize waste of existing building stock. The more adaptable and durable the structure is, the more chances there are for it to survive changes in societal and user needs and therefore prevent premature end of life.",Design and Deliver,Is your building designed to adapt to potential future uses?,"No plan will be made regarding potential future uses that future owners may have for a building, and little to no thought will be given to the building's odds of surviving to its end of life.",4,
Maximizing space utilization,Utilization,"Making sure the building program is designed to maximize use of all spaces, designing out superfluous square footage in the plan to save on materials and energy.",Design and Deliver,Is your floorplan using all of your square footage efficiently?,"When buildings have generous lot and zoning restrictions, efficiency will become a lower priority metric for design and construction, and more building may be constructed than necessary.",2,
Designing for material optimization,Material Optimization,Designing with and cutting materials to modular or off-the-shelf dimensions reduces on site waste of materials by minimizing unusable scrap pieces and gives the materials a better chance of being reused.,Design and Deliver,Is your building designed to keep materials in their off-the-shelf dimensions?,Only a minimal amount of design consideration will be given to reducing or preventing cut dimensions throughout the building and its components and assemblies.,3,End of Design Life
3D printing cradle to cradle material,3D Printing,3D printing allows for minimal construction waste.,Design and Deliver,Does your project utilize 3D printing in its construction or materials to minimize construction waste?,3D printing will not be utilized in construction,1,
Prefabrication,Prefabrication,Pre-fabrication enables construction in controlled environment and greater material / energy efficiency.,Design and Deliver,Are any of your material components prefabricated to elevate their performance and reduce construction waste?,"Prefabricated components will not be utilized, and if they are their selection will be driven primarily by economic factors.",2,
Selling renewable energy,Renewable Energy,Enables use of surplus green energy generated on site.,Intelligent Built Environment,Does your building create a surplus of energy to sell back to the grid?,A building will be entirely reliant on the grid for electricity,1,Resource Exchange
Internet of Things / BIM for Operations,Operations,"Use of sensors, tracking systems and management software can assist with more effective operations and timely maintenance to prolong a building’s life.",Intelligent Built Environment,"Does your project utilize sensors, tracking systems, and management software to assist more effective operations and maintenance?",The building will rely on simple sensors like thermostats and respond in a 1:1 manner (ie it's cold so turn on the heat).,3,Design and Deliver
Space utilization,Space Utilization,"Web-based platforms can help to match underutilized spaces (e.g. office, homes) with potential users (e.g. Airbnb, WeWork).",Intelligent Built Environment,Is there a plan in place to keep this building occupied outside of its regular operational hours?,"Buildings will be used only for the hours in which their primary functions take place, then will sit empty between these primary functions.",2,Design and Deliver
Existing structure,Existing Structure,"The structure of a building can be reused for a future project, diverting it from becoming waste.",Intelligent Built Environment,Does your project utilize the structure of an existing building?,Existing structures on the site will be demolished before construction on the new building begins.,5,"Resource Exchange, Design and Deliver, End of Design Life"
Adaptive reuse of existing building,Adaptive Reuse,Prolongs life of the building and diverts existing structure from landfill.,Intelligent Built Environment,"Are you designing within an existing building core, shell, and structure?","Existing building shell, core and structure on the site will be demolished before construction on the new building begins.",5,Design and Deliver
Harvesting grey water,Harvesting Grey Water,Reusing the building’s water reduces waste by keeping the water in use for longer.,Intelligent Built Environment,Does your building harvest grey water?,Grey water will be sent back to the municipal waste water management system.,2,Design and Deliver
Harvesting runoff,Harvesting Runoff,Harvesting runoff reduces water waste and utilizes the natural regenerative nature of the site.,Intelligent Built Environment,Does your building harvest site runoff?,Site runoff will be directed to the municipal storm water management system.,3,Design and Deliver
Natural lighting and ventilation,Light and Ventilation,Can help minimize operational waste related to lighting and mechanical systems.,Intelligent Built Environment,Does your building utilize natural lighting and ventilation to cut back on use of HVAC mechanical systems?,"Building will make no effort to maximize natural lighting beyond viewshed considerations, and all ventilation will be handled mechanically by the HVAC system.",1,Design and Deliver
Upcycling,Upcycling,"Materials / elements can be designed with future upcycling in mind, therefore designing a longer material lifespan. This type of reuse requires a material to be of the same or higher quality or value than its original state. These materials can capture waste streams or be upcycled in their own processes.",End of Design Life,Does you project incorporate upcycled material? And/or Have you planned upcycling into any of your materials?,No upcycled materials will be used in the building's construction.,4,"Resource Exchange, Design and Deliver"
Downcycling,Downcycling,"Materials / elements can be designed with future uses in mind, extending their material lifespan. This type of reuse allows a material to have a new use that is of lesser quality and functionality than its original state ie plywood to OSB board to MDF board or biodegradable materials.",End of Design Life,Does you project incorporate downcycled material? And/or does the waste management plan for demolition incorporate downcycling measures?,"Some downcycled materials may be used, but will have minimal impact on the overall design or environmental impact of the building.",1,"Resource Exchange, Design and Deliver"
Salvaged materials from demolitions,Salvaged,"Materials can be diverted from landfills for upcycling, re-use, or recycling. This can include harvesting from the project’s site or other demolitions.",End of Design Life,Does your project utilize material directly from a different site undergoing demolition?,Projects will use only new materials directly from a manufacturer.,3,
